ara-url,ara-title,eng-title,eng-url
001a-introduction.html, حكاية الملك شهريار واخيه الملك شاه زمان,Sharayar and Shahzaman,001e-introduction.html
002a-donkey-and-bull.html, حكاية الحمار والثور مع صاحب الزرع,Story of the donkey and bull with the farmer,002e-donkey-and-bull.html
003a-merchant-and-jinnie.html, حكاية التاجر مع العفريت,Merchant and the Jinni,003e-merchant-and-jinnie.html
004a-fisherman-and-jinni.html, حكاية الصياد مع العفريت,Fisherman and the Jinni,004e-fisherman-and-jinni.html
005a-king-unan-hakeem-douban.html,حكاية الملك يونان والحكيم رويان , The Tale of the Wazir and the Sage Duban,005e-king-unan-hakeem-douban.html
006a-porter-and-three-ladies.html,حكاية الحمال مع البنات,The Porter and the Three Ladies of Baghdad,006e-porter-and-three-ladies.html
007a-nooruddeen-and-shamsudeen.html,حكاية الوزير نور الدين مع شمس الدين أخيه, Nuruddeen and his son,007e-nooruddeen-and-shamsudeen.html
008a-tailor-hunchback-jewish-doctor-nazarene.html,حكاية الخياط والأحدب واليهودي والمباشر والنصراني فيما وقع بينهم,Tailor, Hunchback, Jewish Doctor and Nazarene broker,008e-tailor-hunchback-jewish-doctor-nazarene.html
009a-barber-of-baghdad.html,حكاية مزين بغداد,Barber of Baghdad,009e-barber-of-baghdad.html
010a-anees-al-jalees.html,حكاية الوزيرين التي فيها ذكر أنيس الجليس,Noor-ed-Deen and Anees-el-Jelees,010e-anees-al-jalees.html
011a-ghanim-bin-ayyub.html,حكاية التاجر أيوب وابنه غانم وبنته فتنة,Ghanim bin Ayyub,011e-ghanim-bin-ayyub.html
012a-king-umar-bin-nauman-and-sons.html,حكاية الملك عمر النعمان وولديه شركان وضوء المكان,Umar bin al-Nauman and his sons,012e-king-umar-bin-nauman-and-sons.html
013a-lover-and-the-loved.html,حكاية العاشق والمعشوق,The Lover and the loved,013e-lover-and-the-loved.html
014a-ali-bin-bakkar-and-shams-an-nahar.html,حكاية علي بن البكار مع شمس النهار,Ali bin Bakkar and Shams an Nahar,014e-ali-bin-bakkar-and-shams-an-nahar.html
015a-bird-stories.html,حكاية تتعلق بالطيور,Bird Stories,015e-bird-stories.html
016a-qamr-az-zamaan-bin-sharmaan.html,حكاية الملك قمر الزمان ابن الملك شهرمان,Qamr az Zaman bin Sharmaan,016e-qamr-az-zamaan-bin-sharmaan.html
017a-niamah-bin-rabiya.html,حكاية نعم ونعمة,Niamah bin Rabiya,017e-niamah-bin-rabiya.html
018a-alaudeen-abu-shamaat.html,حكاية علاء الدين أبو الشامات,Alaudeen abu Shamaat,018e-alaudeen-abu-shamaat.html
019a-hikayaat-al-kiraam.html,بعض حكايات تتعلق بالكرام,Hikayaat al Kiraam,019e-hikayaat-al-kiraam.html
020a-hisham-bin-abdul-malik.html,حكاية هشام بن عبد الملك مع غلام من الأعراب,Hishaam bin Abdul Malik,020e-hisham-bin-abdul-malik.html
021a-haroon-ar-rasheed-with-mohammad-al-jawhari.html,حكاية هارون الرشيد مع محمد علي الجوهري,Haroon ar Rasheed with Mohammad al Jawhari,021e-haroon-ar-rasheed-with-mohammad-al-jawhari.html
022a-khalid-bin-abdullah.html,حكاية خالد بن عبد الله القسري مع الشاب السارق,Khalid bin Abdullah,022e-khalid-bin-abdullah.html
023a-ali-shaar-with-zumrud.html,حكاية علي شار مع زمرد الجارية,Ali shaar with zumrud,023e-ali-shaar-with-zumrud.html
024a-haroon-ar-rasheed-with-ajami.html,حكاية هارون الرشيد مع علي العجمي وما يتبع ذلك من حديث الجراب الكردي,Haroon ar-rasheed with Ajami,024e-haroon-ar-rasheed-with-ajami.html
025a-haroon-ar-rasheed-with-jafar.html,حكاية هارون الرشيد مع جعفر والجارية والإمام أبي يوسف,Haroon ar-rasheed with Imam Abu Yusuf,025e-haroon-ar-rasheed-with-jafar.html
